hgnc_symbol	logFC	PValue
RPL7P32	-2.9376416372763465	0.00116220656078475
ATP5MF	1.0905551665825046	0.00116423642975016
TMEM106A	1.5527139276568394	0.00117094742060677
MYADM-AS1	-2.012659777117058	0.00119110027395902
LINC01505	-2.845014313553641	0.00122602236145974
EZH2	1.1412424087281203	0.00122811594922053
MSR1	3.564225638209342	0.00124013830498662
LGR6	-2.0859885073100553	0.00124080196628796
ALDH1L2	2.41925600246505	0.00124348242810163
SPTLC2	1.6729038371831126	0.00126632335769874
EXPH5	-1.2351361003462715	0.00129065575690477
TCN1	-2.9505423937902657	0.00130620032834438
PPT1	1.5124587355831611	0.00132440882733257
DPYD	1.7989493667886365	0.00134057440057615
AIDAP2	2.7763011833924516	0.00134405322943366
HADHB	1.187321066195913	0.00135312126800793
ARPC1B	1.0589918991628795	0.00135463395320644
SLC4A4	-1.7167979365928363	0.00136089978079698
COPB2	1.1249310501309464	0.00137345448216894
CCDC184	-2.5252940757323015	0.00137689449022906
IGKV1-9	8.113862695520064	0.00137812619660953
ZNF831	-1.6146988526183197	0.0013786969204921
DUSP2	-1.6458558079892427	0.00138067914572404
BTG2	-1.7034470850221224	0.00138163530389004
SMIM22	3.2232894000047367	0.00138637310778191
LTBP4	-1.732439013547476	0.00139537450976994
GPX1	1.4071140079257989	0.00139668354867907
PDIA2	-2.9416467440410106	0.00140143198414993
PTGDS	-2.1903435460287297	0.00141726885426636
NIBAN2	1.9282840283409357	0.00144319235979592
AGAP7P	-2.650593550768507	0.00144337863311625
LINC01398	-2.9522746970818177	0.00144402073649207
RNASE1	7.108557114949013	0.0014505004210182
PLEKHG3	-1.5490766108841454	0.00145077369071686
IL18	2.4217010633433893	0.00145182904348378
CD163	4.76690760324197	0.00146359878880523
SMIM10	2.6846597889040655	0.00146926968650979
NCALD	-1.4151017462352184	0.0014700657764834
MRPL15	1.905286781029279	0.00147621414020089
MICU1	1.3129310173960922	0.00148574453243386
SIGLEC12	5.626382339125713	0.00149676448121953
POU2F3	5.264708496584732	0.00149889159853996
CD247	-1.5959322288348945	0.0015036082209074
KLHL30	3.993288357514329	0.00151393181997425
C5	1.7046902407801512	0.00154010982731469
KRT17P8	-2.699737570242942	0.00155071223729061
ESRP2	-2.6634643139419256	0.00155350070452652
TP53I3	1.8864954275400705	0.00156687550114575
MPDU1	1.2044982061701173	0.00157114822418138
SORT1	2.2164277470617395	0.00158977964602327
HNRNPA1P34	-3.003222188532085	0.00160072180667785
LDHA	1.0750075092193574	0.00160087835004957
HERC2P4	4.369936747988064	0.00161755611263762
NELFE	3.592693622657759	0.00164639924371297
CES1P1	5.9573833364199915	0.0016556009573466
NRG1	2.746649312570739	0.00166215594961565
AK4	2.8835461158251636	0.00166991025096981
IGLV9-49	3.8596438615385646	0.0016733107931289
ESPL1	2.450804060666463	0.00168906130867002
FAM72A	2.624919540624538	0.00169107179871271
DYNLL1	1.1928848260814997	0.0016925515983192
ARHGAP31	1.5394248803861257	0.00169341840652919
AUTS2	-1.9942186486005933	0.00169934980249484
CEBPA-DT	2.735769548196399	0.00170244162803653
RNU6-1010P	-4.90846189990057	0.00170306475263685
CRY1	-1.2943023654957324	0.00170930111244154
PHF24	-4.682787259106674	0.00171176463239984
TIMP4	7.903600786920472	0.00171778110696746
ARPIN	4.394669902325733	0.00172073520743896
IGKV3D-11	4.86097707282961	0.00172380144920351
IGLV6-57	5.392910937874485	0.00172554924666103
TRAV10	-2.549569685880906	0.00172959800493956
IDH1	2.2050742800366634	0.00172984540610243
GBGT1	1.7056916007530358	0.00173983352988941
S1PR5	-1.8121672502490092	0.00176238839289955
TPST1	3.6884159950832514	0.00176672447852008
TRIM26	2.452846597459527	0.00177448112189689
C9orf135	-5.022339753473098	0.00179975799686593
ADA2	1.3225923164307287	0.00180459099354092
PTGFRN	2.4068637883838524	0.00180561352363669
ADGRB2	-2.48026835482394	0.00182522360844044
MAGEE1	-2.21358169168026	0.00182712177057295
MATK	-1.94775822706007	0.00182739835019862
SLCO2B1	6.531598070290526	0.00183676500904043
GATA3	-2.3100245347174537	0.00183676853675295
GASK1B	2.710630301855089	0.00183846358596273
IGLV3-25	6.698809214821495	0.00184197741171863
TRIM7	1.9076652799700928	0.00185246954947348
IGLV2-14	4.731144822093862	0.00186380070460543
HAUS1P1	2.379605347474422	0.00186408122858854
SH2D2A	-1.7334675539555644	0.00186514111855069
IGLV3-19	2.9442425650569075	0.00186759506669285
TMIGD3	4.576610193643429	0.00187815376542895
SLC16A14	3.0458340754818964	0.00188415805419682
CDHR1	-1.7595347389909008	0.00188739410352103
CALCRL	2.2755690896873264	0.00190604937806403
CSRP2	-2.346053191216343	0.00190614318732205
IGKV3-11	3.8183117418464807	0.00192297029354278
CTSD	1.5472088306290095	0.00193596483520936
PSMB7	1.0045670549856214	0.00194013236402553
C1orf162	1.5195060828118248	0.00194281910254559
UGT2B11	-5.32385220608898	0.00196133233152708
H1-0	2.762762400270143	0.00196249515089981
LINC02384	-2.6146543789498295	0.00197719551128641
COL6A2	-1.8128714364432357	0.00197777545911675
IGKV1-17	4.4643512957706655	0.00199436899927979
ZNRD1ASP	-2.4752125022862734	0.00199594354943358
CDC45	2.7748378974694994	0.00201325956749869
TUBG1	1.320901527204764	0.00201606105069748
HNRNPA3P2	-3.1294487621788294	0.00202875379053326
LAP3	1.7805778446952636	0.00203292694020576
TRIM51BP	-6.682941210694739	0.00203945732411973
LLGL2	-1.4866811520607215	0.00204114095261226
C14orf119	1.0038682267639147	0.0020448323778509
STS	2.314288502895978	0.00204883129714042
WDR45P1	3.4793665979055772	0.00205622151470145
PTGDR2	-3.3594787532072172	0.00205741165318598
IFI44	2.4748908827996434	0.00206288915785852
SAP30	2.9666819871367576	0.00209134774609434
IL10	3.964479074406647	0.00211481907393628
ELL2	1.6398628170891083	0.002116565648471
TEX2	1.9022362202568492	0.00211950734425056
MARCHF1	1.6943034663915968	0.00212493992397138
PTGDR	-1.914532354763287	0.00212900593056815
GPER1	4.394157501237317	0.00213664962984998
FAM89A	2.0767217676947145	0.00213977350753683
NTSR1	3.6831507378104194	0.00215050092576437
CAPNS1	1.073073968139573	0.00215365569654105
EFNA5	-2.8758768353503052	0.0021612536868096
IGKV1D-39	4.275758874034387	0.00216151949608661
SNORA11	-2.5980118757997324	0.00217479119955236
FGFRL1	-1.4895464221705546	0.00217773242167742
RPS20P14	-2.5953328857629057	0.00218023196241657
ANXA5	1.596720418623763	0.00218613339961937
TRGJP1	-2.5469967309512835	0.00218665909658414
NEBL	-3.261981483894699	0.00218707644300736
IGLV2-11	3.795352611758217	0.00218944650172294
SNX3	1.0867402647459703	0.00220131920309276
COX5A	1.0550935393719263	0.00220275297018131
LINC02042	-4.088687802324619	0.00220770129047155
IGLV1-47	3.1141754726888533	0.00221481771023274
HK1	1.3053129091001043	0.00221546939683762
KIAA1958	2.1007075418968406	0.00222301271611444
LINC00987	-2.3605260512284847	0.00223259329451969
FAM169A	-1.4907805285455986	0.00223621281594741
CD163L1	3.633633211555882	0.00225172559574615
SH2D1B	-1.8852227159496664	0.00225792463304921
ACVRL1	3.6311034247498566	0.00226639054971761
BRCA2	1.159647078286511	0.00227551014101301
AP2S1	1.2329082709839754	0.00227663643301619
TSHZ1	-1.2081886223354752	0.00227860760355202
HTRA1	3.976860673173905	0.00228377371104529
EXO1	2.5752156185689423	0.00230394555094087
PCSK9	6.912554033370207	0.00231133152647602
ANG	3.0931670429938416	0.00231153156198039
IGHG2	3.212812413892383	0.00231414706807186
PCLAF	3.165589492919195	0.0023273290374204
RBBP8	1.2534350372494223	0.00232770296110217
IGKV2-24	5.235335503484395	0.00232972526764729
MAP3K6	1.365045634568692	0.00234483789841246
NETO2	2.188231039631124	0.00236903371205732
ZFPM1	-1.7823508083004038	0.00239095003897468
AMZ2P2	-3.347766488544443	0.00239861342706751
KCNK17	-3.642160199667279	0.00240195528676066
IGFBP2	4.659469761023149	0.00241435657399172
SLFN11	1.1676458771430362	0.00242365768414342
ZNF91	-1.7525559257336678	0.00242802544103908
CENPW	2.407668540766517	0.00242850128025318
ALOX15B	5.6222644093172764	0.00243030398618704
PNP	1.709692045283474	0.00243639037692729
PLP2	1.0218834325030588	0.00243652791978327
ALG14	1.452622244013311	0.00244987123647102
RAB11FIP4	-1.0547606726785828	0.00245571854230362
C16orf70	1.0908929936512768	0.00246256047288401
ST14	2.5320540598823524	0.00247551023233055
ANO5	2.283558834616714	0.00248084341106035
JAK2	1.4016941222229955	0.0024827403774301
MACROH2A1	1.4687057266068095	0.00248333693256182
MIR3648-1	-8.764634373580357	0.00249225762139021
HCAR2	-2.9684568856600317	0.00250015097711122
FLT3	4.607829635487709	0.00250675430283329
MT-ND6	-2.1744404432302	0.00250744019232933
SAPCD2	2.2759304351771728	0.00251759399973843
IGLV8-61	5.816686366400219	0.00251942629691212
FBXO43	3.124307908928741	0.00252826333801577
MGAT4A	-1.3090995197211217	0.00252883000650257
FCGR3A	-1.3959856694931017	0.00253793527298603
CRISP3	-1.8018254788918096	0.00256479043983428
AURKA	1.7797566151253794	0.0025658280005124
ALOX15	-5.35373597483001	0.00256810842683825
ZNF366	3.2206648779721117	0.00257430012214125
METTL7A	1.7672341960069036	0.0025884570912618
UPP1	1.3523389009251188	0.00260041531009196
DEPDC1	3.9048764117802097	0.00260337205700571
SIGLEC1	5.101748374861632	0.00260573632187691
SQOR	1.3771004998668457	0.00260733267955827
SEPTIN10	2.030759736119698	0.00260860776953566
IGHV2-70	6.31369233540698	0.00261582933798408
SH2D4A	4.587218791760239	0.00262266946440681
RNVU1-19	1.6506759060130614	0.00262439704126436
CDCA2	2.439521264846791	0.00262690895270103
PRKCA-AS1	-4.94170477143853	0.00263398661891126
SLC22A16	2.598775668890479	0.00264263267241976
GAA	1.4652558079529632	0.00264384297588619
HIGD2A	1.066644773439978	0.00264399263200053
GLB1	1.2516018275902805	0.00264764881456664
MAPK6	1.1414903083222274	0.00266503326708921
MIB2	-1.18735147772274	0.00267374784380745
HAVCR2	1.1429115910941394	0.00267581031817685
IGKV2D-29	5.698634048356346	0.00267669184895002
LINC00513	-2.1854255031250047	0.00269729709784858
BATF2	2.637357124950097	0.00270133154403959
TPRG1-AS1	3.498053364247653	0.00270572608076635
IGKV3-15	4.600024244452272	0.00270789378545067
ANK3	-1.4349468102089935	0.00271890435121959
CRIP2	-2.5497572816957272	0.0027257233096959
ARHGEF11	1.1547485413818668	0.00274076538227983
CLEC4O	-8.610442378292978	0.00274677810467992
EEF1A1P3	-2.7963657264653863	0.00276034361855522
BLVRA	1.6471683788270304	0.00277951778896368
RNU6-94P	-3.430540650454134	0.0028062866689639
MET	3.7473605878010607	0.00281138045842112
ARID4B	-1.2513579557374392	0.00281288360361953
KIF20A	3.243680355192965	0.00282142825302783
PGD	1.9008433215638425	0.00282663751887222
HEXB	1.4906933080513638	0.00283262249764026
MARCHF9	-1.642487210595352	0.00283577530711795
HCG18	2.7239877920159654	0.00284788771326438
CARD6	1.5534348768222983	0.00285414272602349
CPE	4.381531281285898	0.00287608168660422
MT-TN	-4.232886344252089	0.00287863744685513
CXCL10	4.476169081283629	0.00289915989467385
WFDC1	8.049307237176626	0.00290667622679363
RPS9	1.4333498485143057	0.00290727441938629
ATP6V0A1	1.4047324800633871	0.00291014294743572
SERPINB1	1.534678302113865	0.00291089977268112
HESX1	2.8889560831222005	0.00291224818317548
TPSAB1	-4.95764185592893	0.00291874202198763
BMERB1	-2.4221675543454912	0.00292689051171612
NOL3	1.912077358636423	0.00292951042484936
FAM153CP	-3.4143947208961545	0.00293426411942993
CEBPA	1.6454062866910777	0.00293669711474055
SKA3	3.219450718649442	0.00294544049714609
LINC01547	1.8279392850823333	0.00295159091253924
MALAT1	-2.7270854579943364	0.00295558763319628
COPA	1.076183075634206	0.00295878699599453
RABGAP1L-IT1	-3.811080252592319	0.0029959564745596
FGF9	-2.770795506021605	0.00299785348284628
YPEL1	-1.3897972973482435	0.00301057641072654
SULT1A1	1.6848409186819515	0.00301058607084935
DDIT4	1.7820198724429803	0.00301173571510719
ADAMDEC1	3.918742665531074	0.00301335395927443
RRM2	2.934816195094537	0.00301904439554443
SLC9A3R1	-1.081584366321856	0.00302037728039709
MAN2B1	1.1005063773875816	0.0030275416035213
KCNQ1	1.3002040254833334	0.00302909846505673
CXCR2	-3.2763962419849486	0.0030328404854121
UCHL1	4.891065010129991	0.00306755187869669
TPBGL	-2.2294230098682015	0.00308666056078646
IGLL5	3.207255939041349	0.00309126121794386
HNRNPA1P76	-2.9107632164834794	0.00309797791158376
RPL34P20	-2.1437276129715346	0.00310777747081859
ATP2B1-AS1	-1.4935698998500757	0.00311311562023753
SPATS2L	1.904940901574038	0.00311585676987813
GCNT1	1.5883153974140856	0.00312080751980617
LINC00299	-2.275527064040513	0.00312720222050656
G0S2	-3.5710108475046303	0.00313245552543861
SLC43A3	1.8305171882674736	0.00315042043278724
FABP5	1.594039114657156	0.00315169429694448
ERBB2	-1.3806109312260348	0.00316119579903569
GSR	1.174133226592286	0.00316500745475104
PYCR1	2.391977274153805	0.00319163601968066
SLC1A5	1.740375481662264	0.00319429495067099
MYO16	-2.199846900400203	0.00319533849999672
CENPF	2.1209378271173716	0.00319569273654908
IGKV1-33	4.462385274982373	0.00322581055865959
IRF5	1.6159329232577804	0.00323348766619255
RNASE2	5.041892646922642	0.00324256968667245
RPL21P93	-4.639465917282867	0.00324273333034019
TRPM2	1.6522649366586912	0.00324735462227404
GALNT2	1.4098072024772024	0.00325519380215497
MED8	1.136775059761281	0.00326001104450453
SNRPCP4	-2.7455258327361376	0.00326090511544512
DRAXIN	-1.849872522703717	0.00327471059795469
GPX1P1	2.0168863730175857	0.00329497309463522
AOC1	-4.763389210618562	0.00330619551528338
ANXA8	4.310567960782319	0.00330773513492502
SMAD7	-1.388974840816281	0.00331848091360772
SYN2	4.987640959365453	0.00332724269427451
COX8A	1.1922515384744814	0.00332808435502366
RPS11P5	1.3323589212086349	0.00334192176756702
SRGAP1	3.0085612229751058	0.00334205575561358
ZNF528-AS1	-1.9086307320044689	0.00336535999778332
TRMT6	1.842945660239983	0.00337251128044787
MEF2A	1.1979087585491148	0.00338332594564331
CFH	-1.7180041519984424	0.00340059346005717
PUDP	1.421971786080429	0.00340513251289354
LINC01303	-2.27755708629309	0.0034101130460979
KCNMA1	4.343716650147236	0.00341893269888485
EPSTI1	1.978534195854644	0.00342182704951208
BCL9L	-1.5184056799329888	0.00345507717242437
CLDND2	-1.6118157509115882	0.00346628492021342
A2MP1	-2.2793023609175926	0.0034676510683556
EMILIN2	1.9587702065562391	0.00347605587428416
SHROOM1	2.84417507860073	0.00348409553328331
ZWINT	2.2876564012935	0.0034890535735524
ADPRH	1.804732503169267	0.00349961079485198
NAP1L2	-2.143511628236716	0.00350151145210381
PRELID1	1.2869454403775389	0.00351755532331099
TIMM8B	1.1961888224137758	0.0035206483794913
TMEM38A	2.2265725361777307	0.00354891933107831
LINC00944	-2.155343866383478	0.00355045932779446
PCK2	1.5831965711485647	0.00357350444941054
SKAP1	-1.6226616412464483	0.00357896631754173
C3AR1	2.653386410709737	0.00360480761024737
IGKV2D-40	6.31964546809311	0.00360592147300694
IGLV1-51	5.4363554433897745	0.00362282129495032
LRFN2	-2.4288423860180015	0.00364168729526572
TTC9	-1.460374928526409	0.00364184987567691
KCTD14	3.464358842533287	0.00365160127356897
TNS3	2.0586721313388794	0.00365821237701587
FLT1	1.8974392135229816	0.00368977402373026
EGR3	-3.6389667625179984	0.00370421637408847
SYK	1.5566224865454188	0.00370533484628458
AJM1	-1.628778648241063	0.00372403864715441
CTSL	2.134843409074232	0.00372695469446655
GAS2L3	2.4036912166834923	0.00374489964236998
ATP6V1B2	1.56678245830909	0.00375293431954104
HOXA9	2.6674580487312185	0.00375764248238153
ANXA4	1.0163144645221105	0.00375804553692606
SNORD3A	2.8810097683451144	0.00381394175710933
PER1	1.0837089426039817	0.00382196769320891
MUC16	-2.350854163264408	0.00384394378125598
IFTAP	1.5707121142538063	0.00384461260374791
CDC42BPA	1.6864762678110825	0.00385469663387345
GNS	1.3600657140565655	0.00387388762728383
E2F7	1.9956802579220596	0.00387441323212288
